Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Tourism Revenues;2008-04-30T00:00:00;13622;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2008-05-31T00:00:00;14439;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2008-06-30T00:00:00;14458;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2008-07-31T00:00:00;14205;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2008-08-31T00:00:00;14158;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2008-09-30T00:00:00;13461;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2008-10-31T00:00:00;13497;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2008-11-30T00:00:00;12717;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2008-12-31T00:00:00;13008;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-01-31T00:00:00;12211;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-02-28T00:00:00;12012;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-03-31T00:00:00;11854;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-04-30T00:00:00;12013;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-05-31T00:00:00;11780;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-06-30T00:00:00;11810;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-07-31T00:00:00;12122;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-08-31T00:00:00;12303;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-09-30T00:00:00;12275;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-10-31T00:00:00;12527;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-11-30T00:00:00;12445;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2009-12-31T00:00:00;12653;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2010-01-31T00:00:00;13023;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
